REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"REGION1","S01B1","SEHF00I00",1,"SEHF",2048,23.0899180022313
"REGION1","S01B1","SEHF00I00",1,"SEHF",2049,23.3438699365581
"REGION1","S01B1","SEHF00I00",1,"SEHF",2050,23.6006373025293
"REGION1","S01B1","SEHF00I00",1,"SEHF",2051,23.860220100145
"REGION1","S01B1","SEHF00I00",1,"SEHF",2052,24.1228060248481
"REGION1","S01B1","SEHF00I00",1,"SEHF",2053,24.3882073811956
"REGION1","S01B1","SEHF00I00",1,"SEHF",2054,24.6564241691875
"REGION1","S01B1","SEHF00I00",1,"SEHF",2055,24.9276440842668
"REGION1","S01B1","SEHF00I00",1,"SEHF",2056,25.2018671264334
"REGION1","S01B1","SEHF00I00",1,"SEHF",2057,25.4790932956875
"REGION1","S01B1","SEHF00I00",1,"SEHF",2058,25.7593225920289
"REGION1","S01B1","SEHF00I00",1,"SEHF",2059,26.0427427109007
"REGION1","S01B1","SEHF00I00",1,"SEHF",2060,25.2208690462787
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2015,15.0212216265523
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2016,13.2417924398554
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2017,11.2784294751322
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2018,10.6744600478396
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2019,10.6313834435939
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2020,10.3671101375977
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2021,10.3553720397827
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2022,10.2528519364132
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2023,10.072350998314
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2024,4.01035698362441
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2025,9.7150034355863
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2026,9.68781755809959
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2027,9.57863110106534
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2028,9.53422565555751
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2029,9.1261606513271
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2030,8.95717633749926
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2031,8.92484120012198
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2032,8.75181499412198
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2033,7.90400832854685
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2034,8.2845611853431
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2035,3.27185479907974
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2036,7.98233838763738
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2037,7.83494774431834
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2038,6.29946140524449
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2039,7.05757560600154
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2040,6.92447000624986
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2041,6.66113796281434
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2042,6.01144532242906
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2043,5.89244758740979
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2044,5.67667698747955
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2045,5.67667698747955
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2046,5.61743281454515
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2047,5.61743281454515
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2048,5.60857387279795
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2049,4.60027885710297
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2050,5.52087034950067
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2051,5.52087034950067
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2052,5.28743723446195
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2053,5.27525618955955
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2054,5.27525618955955
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2055,5.07371526481075
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2056,5.06662811141299
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2057,5.00029678508083
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2058,4.86493215518361
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2059,4.54781526166541
"REGION1","S01B1","SEHYDMPH1",1,"SEE1",2060,4.4544530893271
"REGION1","S01B1","SEHYDMPH2",1,"SEE1",2015,110.525043132242
"REGION1","S01B1","SEHYDMPH2",1,"SEE1",2016,109.706698388344
"REGION1","S01B1","SEHYDMPH2",1,"SEE1",2017,109.424319620152
"REGION1","S01B1","SEHYDMPH2",1,"SEE1",2018,104.268437709583
