REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S02B2","SEE2",2052,43.809956484
"REGION1","S02B2","SEE2",2053,43.9928067096
"REGION1","S02B2","SEE2",2054,44.1764929088
"REGION1","S02B2","SEE2",2055,44.3607870888
"REGION1","S02B2","SEE2",2056,44.499634704
"REGION1","S02B2","SEE2",2057,44.6388623072
"REGION1","S02B2","SEE2",2058,44.778545896
"REGION1","S02B2","SEE2",2059,44.9186094728
"REGION1","S02B2","SEE2",2060,45.0591290352
"REGION1","S02B3","SEE2",2015,3.76656981669
"REGION1","S02B3","SEE2",2016,3.80587801137
"REGION1","S02B3","SEE2",2017,3.84519477366
"REGION1","S02B3","SEE2",2018,3.88451153595
"REGION1","S02B3","SEE2",2019,3.92381973063
"REGION1","S02B3","SEE2",2020,3.96313649292
"REGION1","S02B3","SEE2",2021,3.98788831821
"REGION1","S02B3","SEE2",2022,4.0126401435
"REGION1","S02B3","SEE2",2023,4.03739196879
"REGION1","S02B3","SEE2",2024,4.06214379408
"REGION1","S02B3","SEE2",2025,4.08689561937
"REGION1","S02B3","SEE2",2026,4.11609403425
"REGION1","S02B3","SEE2",2027,4.14529244913
"REGION1","S02B3","SEE2",2028,4.17449086401
"REGION1","S02B3","SEE2",2029,4.20368927889
"REGION1","S02B3","SEE2",2030,4.23288769377
"REGION1","S02B3","SEE2",2031,4.25685129894
"REGION1","S02B3","SEE2",2032,4.28081490411
"REGION1","S02B3","SEE2",2033,4.30476994167
"REGION1","S02B3","SEE2",2034,4.32873354684
"REGION1","S02B3","SEE2",2035,4.35269715201
"REGION1","S02B3","SEE2",2036,4.38045620841
"REGION1","S02B3","SEE2",2037,4.40822383242
"REGION1","S02B3","SEE2",2038,4.43599145643
"REGION1","S02B3","SEE2",2039,4.46375051283
"REGION1","S02B3","SEE2",2040,4.49151813684
"REGION1","S02B3","SEE2",2041,4.53456180948
"REGION1","S02B3","SEE2",2042,4.57760548212
"REGION1","S02B3","SEE2",2043,4.62064915476
"REGION1","S02B3","SEE2",2044,4.6636928274
"REGION1","S02B3","SEE2",2045,4.70674506765
"REGION1","S02B3","SEE2",2046,4.74498231108
"REGION1","S02B3","SEE2",2047,4.78321955451
"REGION1","S02B3","SEE2",2048,4.82145679794
"REGION1","S02B3","SEE2",2049,4.85969404137
"REGION1","S02B3","SEE2",2050,4.8979312848
"REGION1","S02B3","SEE2",2051,4.91839073748
"REGION1","S02B3","SEE2",2052,4.93892729865
"REGION1","S02B3","SEE2",2053,4.95954096831
"REGION1","S02B3","SEE2",2054,4.98024888168
"REGION1","S02B3","SEE2",2055,5.00102533593
"REGION1","S02B3","SEE2",2056,5.0166783594
"REGION1","S02B3","SEE2",2057,5.03237422092
"REGION1","S02B3","SEE2",2058,5.0481214881
"REGION1","S02B3","SEE2",2059,5.06391159333
"REGION1","S02B3","SEE2",2060,5.07975310422
"REGION1","S03B1","SEE2",2015,34.1159577693
"REGION1","S03B1","SEE2",2016,34.4719943689
"REGION1","S03B1","SEE2",2017,34.8281085702
"REGION1","S03B1","SEE2",2018,35.1842227715
"REGION1","S03B1","SEE2",2019,35.5402593711
"REGION1","S03B1","SEE2",2020,35.8963735724
"REGION1","S03B1","SEE2",2021,36.1205648837
"REGION1","S03B1","SEE2",2022,36.344756195
"REGION1","S03B1","SEE2",2023,36.5689475063
"REGION1","S03B1","SEE2",2024,36.7931388176
"REGION1","S03B1","SEE2",2025,37.0173301289
"REGION1","S03B1","SEE2",2026,37.2817967225
"REGION1","S03B1","SEE2",2027,37.5462633161
"REGION1","S03B1","SEE2",2028,37.8107299097
"REGION1","S03B1","SEE2",2029,38.0751965033
"REGION1","S03B1","SEE2",2030,38.3396630969
"REGION1","S03B1","SEE2",2031,38.5567150518
"REGION1","S03B1","SEE2",2032,38.7737670067
"REGION1","S03B1","SEE2",2033,38.9907413599
"REGION1","S03B1","SEE2",2034,39.2077933148
"REGION1","S03B1","SEE2",2035,39.4248452697
"REGION1","S03B1","SEE2",2036,39.6762747777
"REGION1","S03B1","SEE2",2037,39.9277818874
"REGION1","S03B1","SEE2",2038,40.1792889971
"REGION1","S03B1","SEE2",2039,40.4307185051
"REGION1","S03B1","SEE2",2040,40.6822256148
"REGION1","S03B1","SEE2",2041,41.0720965556
"REGION1","S03B1","SEE2",2042,41.4619674964
"REGION1","S03B1","SEE2",2043,41.8518384372
"REGION1","S03B1","SEE2",2044,42.241709378
"REGION1","S03B1","SEE2",2045,42.6316579205
"REGION1","S03B1","SEE2",2046,42.9779943076
"REGION1","S03B1","SEE2",2047,43.3243306947
"REGION1","S03B1","SEE2",2048,43.6706670818
"REGION1","S03B1","SEE2",2049,44.0170034689
"REGION1","S03B1","SEE2",2050,44.363339856
"REGION1","S03B1","SEE2",2051,44.5486527156
"REGION1","S03B1","SEE2",2052,44.7346639905
"REGION1","S03B1","SEE2",2053,44.9213736807
"REGION1","S03B1","SEE2",2054,45.1089369896
