
Summary,REGION1
Emissions
,CO2,162520
,SEHO,11541.5
,SEPM25,379.402
,SESO,7.47061
,SEWI,5905.1
,SEWO,45.7224

Cost,107225

TID Demand

,REGION1

,SEBF
2041,25.3803,78.4564,14.0015,13.4116,42.1375,4.75038,43.0269,169.303,29.3184,13.6585,43.6253,7.70336,14.8114,46.6147,8.25893
2042,25.6103,79.1673,14.1283,13.5331,42.5193,4.79342,43.4168,170.837,29.5841,13.7823,44.0206,7.77316,14.9456,47.0371,8.33376
2043,25.8403,79.8782,14.2552,13.6546,42.9011,4.83647,43.8066,172.371,29.8497,13.906,44.4159,7.84296,15.0798,47.4595,8.4086
2044,26.0702,80.5891,14.3821,13.7761,43.2829,4.87951,44.1965,173.905,30.1154,14.0298,44.8112,7.91277,15.214,47.8819,8.48343
2045,26.3003,81.3001,14.509,13.8977,43.6648,4.92256,44.5864,175.439,30.3811,14.1536,45.2066,7.98258,15.3483,48.3043,8.55828
2046,26.5045,81.9316,14.6217,14.0056,44.004,4.9608,44.9328,176.802,30.6171,14.2635,45.5577,8.04459,15.4675,48.6795,8.62476
2047,26.7088,82.5631,14.7344,14.1136,44.3432,4.99904,45.2791,178.165,30.8531,14.3735,45.9089,8.10659,15.5867,49.0548,8.69124
2048,26.9131,83.1947,14.8471,14.2215,44.6823,5.03727,45.6255,179.528,31.0891,14.4834,46.26,8.1686,15.7059,49.43,8.75772
2049,27.1174,83.8262,14.9598,14.3295,45.0215,5.07551,45.9718,180.89,31.3251,14.5934,46.6112,8.23061,15.8251,49.8052,8.8242
2050,27.3217,84.4577,15.0725,14.4374,45.3607,5.11375,46.3181,182.253,31.5611,14.7033,46.9623,8.29261,15.9444,50.1804,8.89068
2051,27.431,84.7956,15.1328,14.4952,45.5422,5.13421,46.5034,182.982,31.6873,14.7621,47.1502,8.32579,16.0082,50.3812,8.92625
2052,27.5408,85.1348,15.1933,14.5532,45.7243,5.15475,46.6895,183.714,31.8141,14.8212,47.3388,8.35909,16.0722,50.5827,8.96195
2053,27.6509,85.4752,15.2541,14.6114,45.9072,5.17536,46.8762,184.449,31.9413,14.8804,47.5281,8.39252,16.1365,50.785,8.99779
2054,27.7615,85.8172,15.3151,14.6699,46.0909,5.19607,47.0637,185.187,32.0691,14.94,47.7183,8.4261,16.201,50.9882,9.03379
2055,27.8725,86.1604,15.3763,14.7285,46.2752,5.21684,47.2519,185.927,32.1973,14.9997,47.9091,8.45979,16.2658,51.1921,9.06991
2056,27.9562,86.4189,15.4225,14.7727,46.414,5.2325,47.3937,186.485,32.2939,15.0447,48.0528,8.48518,16.3146,51.3457,9.09713
2057,28.04,86.6781,15.4687,14.817,46.5532,5.24819,47.5359,187.045,32.3908,15.0899,48.197,8.51063,16.3636,51.4997,9.12442
